asset_id,asset_type,asset_name,home_section_id,location_station,status,capacity
DY055,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 55,BSB-MGS,BSB,Available,1.8 km/hr
TO056,Tower Wagon,Tower Wagon Unit 56,BBLA-CQR,BBLA,Under Repair,6m reach
DY057,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 57,BZA-EE,BZA,Under Repair,1.8 km/hr
BA058,Ballast Regulator,Ballast Regulator Unit 58,BNXR-SDAH,BNXR,In Use,3 km/hr
OH059,OHE Maintenance Special,OHE Maintenance Special Unit 59,KAWR-MAO,KAWR,Available,N/A
DY060,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 60,CDP-TKNR,CDP,In Use,1.8 km/hr
DY061,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 61,DR-PR,DR,Available,1.8 km/hr
RA062,Rail Crane,Rail Crane Unit 62,HNB-TKF,HNB,Available,40 tonnes
TA063,Tamping Machine,Tamping Machine Unit 63,AD-MALM,AD,Available,2.5 km/hr
BA064,Ballast Regulator,Ballast Regulator Unit 64,BTNR-FNB,BTNR,Available,3 km/hr
TA065,Tamping Machine,Tamping Machine Unit 65,ABH-KYN,ABH,Available,2.5 km/hr
BA066,Ballast Regulator,Ballast Regulator Unit 66,BDL-MZP,BDL,Available,3 km/hr
DY067,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 67,ET-KNW,ET,Available,1.8 km/hr
TA068,Tamping Machine,Tamping Machine Unit 68,BL-NVS,BL,Available,2.5 km/hr
BA069,Ballast Regulator,Ballast Regulator Unit 69,GEDE-HRSR,GEDE,Available,3 km/hr
DY070,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 70,BZA-KMT,BZA,In Use,1.8 km/hr
OH071,OHE Maintenance Special,OHE Maintenance Special Unit 71,CKI-IJK,CKI,Available,N/A
OH072,OHE Maintenance Special,OHE Maintenance Special Unit 72,BLAE-MBE,BLAE,In Use,N/A
RA073,Rail Crane,Rail Crane Unit 73,BZL-DKAE,BZL,Under Repair,40 tonnes
TA074,Tamping Machine,Tamping Machine Unit 74,KYN-THK,KYN,Available,2.5 km/hr
TA075,Tamping Machine,Tamping Machine Unit 75,BARU-JNM,BARU,Under Repair,2.5 km/hr
OH076,OHE Maintenance Special,OHE Maintenance Special Unit 76,DSNR-RMJ,DSNR,In Use,N/A
OH077,OHE Maintenance Special,OHE Maintenance Special Unit 77,ASN-DHN,ASN,In Use,N/A
TA078,Tamping Machine,Tamping Machine Unit 78,KTYM-TRVL,KTYM,Under Repair,2.5 km/hr
BA079,Ballast Regulator,Ballast Regulator Unit 79,ERN-KTYM,ERN,Available,3 km/hr
OH080,OHE Maintenance Special,OHE Maintenance Special Unit 80,CSB-NDLS,CSB,Available,N/A
RA081,Rail Crane,Rail Crane Unit 81,CGA-FLR,CGA,Under Repair,40 tonnes
OH082,OHE Maintenance Special,OHE Maintenance Special Unit 82,BE-LKO,BE,Available,N/A
OH083,OHE Maintenance Special,OHE Maintenance Special Unit 83,CNB-LKO,CNB,Available,N/A
BA084,Ballast Regulator,Ballast Regulator Unit 84,DH-GURN,DH,Available,3 km/hr
RA085,Rail Crane,Rail Crane Unit 85,KAVM-WCN,KAVM,Under Repair,40 tonnes
OH086,OHE Maintenance Special,OHE Maintenance Special Unit 86,AKRA-SSP,AKRA,Available,N/A
RA087,Rail Crane,Rail Crane Unit 87,PAU-PBN,PAU,Available,40 tonnes
OH088,OHE Maintenance Special,OHE Maintenance Special Unit 88,GIA-NRPR,GIA,Available,N/A
TA089,Tamping Machine,Tamping Machine Unit 89,BBLA-BSHT,BBLA,In Use,2.5 km/hr
DY090,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 90,BTT-DEOS,BTT,Available,1.8 km/hr
DY091,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 91,BOE-KNE,BOE,In Use,1.8 km/hr
OH092,OHE Maintenance Special,OHE Maintenance Special Unit 92,CKP-TATA,CKP,Available,N/A
OH093,OHE Maintenance Special,OHE Maintenance Special Unit 93,OYR-UDL,OYR,Available,N/A
BA094,Ballast Regulator,Ballast Regulator Unit 94,SHE-SRP,SHE,Available,3 km/hr
BA095,Ballast Regulator,Ballast Regulator Unit 95,BRC-ST,BRC,Available,3 km/hr
DY096,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 96,PXR-SMX,PXR,Available,1.8 km/hr
BA097,Ballast Regulator,Ballast Regulator Unit 97,RIS-SRP,RIS,Available,3 km/hr
TA098,Tamping Machine,Tamping Machine Unit 98,RJY-SLO,RJY,Available,2.5 km/hr
TA099,Tamping Machine,Tamping Machine Unit 99,CHG-CRD,CHG,Available,2.5 km/hr
TO100,Tower Wagon,Tower Wagon Unit 100,AME-PBH,AME,Available,6m reach
TO101,Tower Wagon,Tower Wagon Unit 101,KUN-PNP,KUN,Available,6m reach
BA102,Ballast Regulator,Ballast Regulator Unit 102,BRC-RTM,BRC,Available,3 km/hr
OH103,OHE Maintenance Special,OHE Maintenance Special Unit 103,DMU-HT,DMU,Available,N/A
BA104,Ballast Regulator,Ballast Regulator Unit 104,BHPA-SNU,BHPA,Under Repair,3 km/hr
DY105,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 105,BDZ-KNJ,BDZ,Available,1.8 km/hr
TO106,Tower Wagon,Tower Wagon Unit 106,SC-STPD,SC,Available,6m reach
TA107,Tamping Machine,Tamping Machine Unit 107,PRWS-TI,PRWS,Available,2.5 km/hr
TA108,Tamping Machine,Tamping Machine Unit 108,BGRD-LBTL,BGRD,Available,2.5 km/hr
TO109,Tower Wagon,Tower Wagon Unit 109,MRGA-NLDA,MRGA,In Use,6m reach
BA110,Ballast Regulator,Ballast Regulator Unit 110,SBGR-SPR,SBGR,In Use,3 km/hr
OH111,OHE Maintenance Special,OHE Maintenance Special Unit 111,KKDE-KUN,KKDE,Available,N/A
TO112,Tower Wagon,Tower Wagon Unit 112,BINA-JHS,BINA,Available,6m reach
BA113,Ballast Regulator,Ballast Regulator Unit 113,PLAE-SKG,PLAE,Available,3 km/hr
RA114,Rail Crane,Rail Crane Unit 114,BPP-CLX,BPP,Available,40 tonnes
DY115,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 115,AMLA-BZU,AMLA,In Use,1.8 km/hr
RA116,Rail Crane,Rail Crane Unit 116,ASO-VSD,ASO,In Use,40 tonnes
BA117,Ballast Regulator,Ballast Regulator Unit 117,JAT-UHP,JAT,In Use,3 km/hr
TA118,Tamping Machine,Tamping Machine Unit 118,PTLR-TRL,PTLR,Available,2.5 km/hr
RA119,Rail Crane,Rail Crane Unit 119,FDB-NZM,FDB,Available,40 tonnes
TA120,Tamping Machine,Tamping Machine Unit 120,KZJ-SC,KZJ,Under Repair,2.5 km/hr
DY121,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 121,CHE-VZM,CHE,Available,1.8 km/hr
DY122,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 122,MSL-SNHT,MSL,Available,1.8 km/hr
TO123,Tower Wagon,Tower Wagon Unit 123,MKK-NBK,MKK,Available,6m reach
DY124,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 124,BBAE-BHR,BBAE,Available,1.8 km/hr
OH125,OHE Maintenance Special,OHE Maintenance Special Unit 125,KHT-RU,KHT,Available,N/A
BA126,Ballast Regulator,Ballast Regulator Unit 126,BOP-NPMR,BOP,Available,3 km/hr
BA127,Ballast Regulator,Ballast Regulator Unit 127,DLI-DSA,DLI,Available,3 km/hr
BA128,Ballast Regulator,Ballast Regulator Unit 128,ATP-DMM,ATP,Available,3 km/hr
TO129,Tower Wagon,Tower Wagon Unit 129,IP-PTF,IP,In Use,6m reach
OH130,OHE Maintenance Special,OHE Maintenance Special Unit 130,DWR-UBL,DWR,Available,N/A
TA131,Tamping Machine,Tamping Machine Unit 131,ANNR-AVD,ANNR,In Use,2.5 km/hr
DY132,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 132,BBAE-SHE,BBAE,Available,1.8 km/hr
DY133,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 133,BBAE-SHE,BBAE,Available,1.8 km/hr
OH134,OHE Maintenance Special,OHE Maintenance Special Unit 134,DPU-LMG,DPU,Available,N/A
DY135,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 135,KAVM-WCN,KAVM,In Use,1.8 km/hr
RA136,Rail Crane,Rail Crane Unit 136,AJJ-TRT,AJJ,Available,40 tonnes
TA137,Tamping Machine,Tamping Machine Unit 137,BAHW-KKAE,BAHW,In Use,2.5 km/hr
DY138,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 138,DKAE-GBRA,DKAE,In Use,1.8 km/hr
RA139,Rail Crane,Rail Crane Unit 139,MPK-MS,MPK,In Use,40 tonnes
TA140,Tamping Machine,Tamping Machine Unit 140,SDB-WADI,SDB,In Use,2.5 km/hr
DY141,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 141,GKL-MDN,GKL,Available,1.8 km/hr
OH142,OHE Maintenance Special,OHE Maintenance Special Unit 142,IP-SNR,IP,Available,N/A
DY143,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 143,NGP-WR,NGP,Available,1.8 km/hr
BA144,Ballast Regulator,Ballast Regulator Unit 144,ASKR-HB,ASKR,Available,3 km/hr
BA145,Ballast Regulator,Ballast Regulator Unit 145,MDU-VPT,MDU,In Use,3 km/hr
TO146,Tower Wagon,Tower Wagon Unit 146,ABH-BUD,ABH,Available,6m reach
TA147,Tamping Machine,Tamping Machine Unit 147,AKV-BH,AKV,Available,2.5 km/hr
TA148,Tamping Machine,Tamping Machine Unit 148,BPQ-NGP,BPQ,Under Repair,2.5 km/hr
TO149,Tower Wagon,Tower Wagon Unit 149,CNB-CPB,CNB,In Use,6m reach
TA150,Tamping Machine,Tamping Machine Unit 150,SDB-WADI,SDB,Available,2.5 km/hr
BA151,Ballast Regulator,Ballast Regulator Unit 151,AWB-J,AWB,Available,3 km/hr
DY152,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 152,BSLA-LBTL,BSLA,In Use,1.8 km/hr
BA153,Ballast Regulator,Ballast Regulator Unit 153,AST-BVH,AST,Available,3 km/hr
TA154,Tamping Machine,Tamping Machine Unit 154,HWH-KGP,HWH,Available,2.5 km/hr
RA155,Rail Crane,Rail Crane Unit 155,DI-KOPR,DI,In Use,40 tonnes
RA156,Rail Crane,Rail Crane Unit 156,CDAE-PBZ,CDAE,Available,40 tonnes
DY157,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 157,BVI-VAPI,BVI,In Use,1.8 km/hr
OH158,OHE Maintenance Special,OHE Maintenance Special Unit 158,NCB-NOQ,NCB,In Use,N/A
BA159,Ballast Regulator,Ballast Regulator Unit 159,BFZ-PSAE,BFZ,Available,3 km/hr
OH160,OHE Maintenance Special,OHE Maintenance Special Unit 160,BHR-MUU,BHR,In Use,N/A
DY161,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 161,KOTA-RMA,KOTA,Available,1.8 km/hr
RA162,Rail Crane,Rail Crane Unit 162,ET-HBD,ET,In Use,40 tonnes
RA163,Rail Crane,Rail Crane Unit 163,MTJ-RKM,MTJ,Available,40 tonnes
RA164,Rail Crane,Rail Crane Unit 164,MBM-SP,MBM,Under Repair,40 tonnes
TA165,Tamping Machine,Tamping Machine Unit 165,HC-PRES,HC,Available,2.5 km/hr
TO166,Tower Wagon,Tower Wagon Unit 166,DMU-HT,DMU,Available,6m reach
DY167,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 167,DHNE-KRNT,DHNE,Available,1.8 km/hr
RA168,Rail Crane,Rail Crane Unit 168,BHLA-SOAE,BHLA,Available,40 tonnes
DY169,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 169,PV-STM,PV,Available,1.8 km/hr
BA170,Ballast Regulator,Ballast Regulator Unit 170,AGC-RKM,AGC,Available,3 km/hr
TA171,Tamping Machine,Tamping Machine Unit 171,BPQ-CD,BPQ,Available,2.5 km/hr
RA172,Rail Crane,Rail Crane Unit 172,BY-DR,BY,Available,40 tonnes
OH173,OHE Maintenance Special,OHE Maintenance Special Unit 173,AGP-SEP,AGP,Under Repair,N/A
BA174,Ballast Regulator,Ballast Regulator Unit 174,APR-PND,APR,Under Repair,3 km/hr
TO175,Tower Wagon,Tower Wagon Unit 175,GRP-SKG,GRP,Available,6m reach
OH176,OHE Maintenance Special,OHE Maintenance Special Unit 176,DTE-KIG,DTE,Available,N/A
RA177,Rail Crane,Rail Crane Unit 177,DI-KOPR,DI,Available,40 tonnes
DY178,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 178,HLR-KPA,HLR,Available,1.8 km/hr
TO179,Tower Wagon,Tower Wagon Unit 179,MYR-STA,MYR,Available,6m reach
DY180,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 180,CDH-PXR,CDH,Available,1.8 km/hr
DY181,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 181,ASKR-HB,ASKR,Available,1.8 km/hr
OH182,OHE Maintenance Special,OHE Maintenance Special Unit 182,BE-MB,BE,Available,N/A
OH183,OHE Maintenance Special,OHE Maintenance Special Unit 183,MTJ-NZM,MTJ,Available,N/A
DY184,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 184,JET-SJVP,JET,In Use,1.8 km/hr
BA185,Ballast Regulator,Ballast Regulator Unit 185,LGDH-MJF,LGDH,Available,3 km/hr
BA186,Ballast Regulator,Ballast Regulator Unit 186,CNS-HGY,CNS,Available,3 km/hr
TO187,Tower Wagon,Tower Wagon Unit 187,BPN-HRSR,BPN,Under Repair,6m reach
BA188,Ballast Regulator,Ballast Regulator Unit 188,KCG-VAR,KCG,Under Repair,3 km/hr
OH189,OHE Maintenance Special,OHE Maintenance Special Unit 189,ADL-SEL,ADL,Available,N/A
RA190,Rail Crane,Rail Crane Unit 190,UBC-UMB,UBC,Under Repair,40 tonnes
OH191,OHE Maintenance Special,OHE Maintenance Special Unit 191,KOG-RIS,KOG,Available,N/A
RA192,Rail Crane,Rail Crane Unit 192,CVP-SRT,CVP,Available,40 tonnes
TO193,Tower Wagon,Tower Wagon Unit 193,BSBP-KGY,BSBP,Available,6m reach
DY194,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 194,AK-BSL,AK,In Use,1.8 km/hr
OH195,OHE Maintenance Special,OHE Maintenance Special Unit 195,BSAE-TBAE,BSAE,In Use,N/A
DY196,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 196,BSP-BYT,BSP,In Use,1.8 km/hr
OH197,OHE Maintenance Special,OHE Maintenance Special Unit 197,JPR-KGP,JPR,In Use,N/A
RA198,Rail Crane,Rail Crane Unit 198,PNVL-TNA,PNVL,Available,40 tonnes
TA199,Tamping Machine,Tamping Machine Unit 199,NGP-WR,NGP,Available,2.5 km/hr
RA200,Rail Crane,Rail Crane Unit 200,BFZ-PSAE,BFZ,Available,40 tonnes
DY201,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 201,ATP-DMM,ATP,Under Repair,1.8 km/hr
TO202,Tower Wagon,Tower Wagon Unit 202,MSB-RPM,MSB,Available,6m reach
BA203,Ballast Regulator,Ballast Regulator Unit 203,MBM-SP,MBM,Under Repair,3 km/hr
RA204,Rail Crane,Rail Crane Unit 204,DMU-UTN,DMU,In Use,40 tonnes
TA205,Tamping Machine,Tamping Machine Unit 205,MJT-NACC,MJT,In Use,2.5 km/hr
RA206,Rail Crane,Rail Crane Unit 206,NZM-TKJ,NZM,Available,40 tonnes
OH207,OHE Maintenance Special,OHE Maintenance Special Unit 207,MJ-PMY,MJ,Available,N/A
BA208,Ballast Regulator,Ballast Regulator Unit 208,JRC-LDH,JRC,Available,3 km/hr
BA209,Ballast Regulator,Ballast Regulator Unit 209,BNC-BNCE,BNC,Available,3 km/hr
RA210,Rail Crane,Rail Crane Unit 210,AKRD-CCH,AKRD,Available,40 tonnes
TA211,Tamping Machine,Tamping Machine Unit 211,DSA-VVB,DSA,In Use,2.5 km/hr
TA212,Tamping Machine,Tamping Machine Unit 212,CSMT-PNVL,CSMT,In Use,2.5 km/hr
OH213,OHE Maintenance Special,OHE Maintenance Special Unit 213,BY-CHG,BY,Under Repair,N/A
OH214,OHE Maintenance Special,OHE Maintenance Special Unit 214,ASN-CRJ,ASN,Available,N/A
TA215,Tamping Machine,Tamping Machine Unit 215,BPQ-NGP,BPQ,Available,2.5 km/hr
DY216,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 216,NMF-RSLR,NMF,Available,1.8 km/hr
DY217,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 217,KZJ-SC,KZJ,Available,1.8 km/hr
TA218,Tamping Machine,Tamping Machine Unit 218,MGW-ON,MGW,Available,2.5 km/hr
DY219,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 219,BGF-DBP,BGF,Available,1.8 km/hr
TA220,Tamping Machine,Tamping Machine Unit 220,CPR-SV,CPR,Available,2.5 km/hr
OH221,OHE Maintenance Special,OHE Maintenance Special Unit 221,ANG-DD,ANG,Available,N/A
TA222,Tamping Machine,Tamping Machine Unit 222,BRBD-BTNR,BRBD,In Use,2.5 km/hr
TO223,Tower Wagon,Tower Wagon Unit 223,BTNR-FNB,BTNR,Available,6m reach
DY224,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 224,DHNE-KRNT,DHNE,In Use,1.8 km/hr
TA225,Tamping Machine,Tamping Machine Unit 225,JRC-PTKC,JRC,In Use,2.5 km/hr
TA226,Tamping Machine,Tamping Machine Unit 226,AKRA-SSP,AKRA,Available,2.5 km/hr
TA227,Tamping Machine,Tamping Machine Unit 227,BGAE-JIT,BGAE,Available,2.5 km/hr
TO228,Tower Wagon,Tower Wagon Unit 228,MURI-RNC,MURI,Available,6m reach
TA229,Tamping Machine,Tamping Machine Unit 229,LKPR-MDBP,LKPR,Available,2.5 km/hr
BA230,Ballast Regulator,Ballast Regulator Unit 230,ARA-DNR,ARA,Available,3 km/hr
RA231,Rail Crane,Rail Crane Unit 231,PDA-SLG,PDA,In Use,40 tonnes
DY232,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 232,GQD-PLF,GQD,Available,1.8 km/hr
TA233,Tamping Machine,Tamping Machine Unit 233,BST-GD,BST,Available,2.5 km/hr
RA234,Rail Crane,Rail Crane Unit 234,MCI-RDM,MCI,In Use,40 tonnes
DY235,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 235,PUNE-SVJR,PUNE,In Use,1.8 km/hr
DY236,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 236,DIVA-KOPR,DIVA,Available,1.8 km/hr
DY237,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 237,MYR-STA,MYR,Available,1.8 km/hr
RA238,Rail Crane,Rail Crane Unit 238,LKPR-MDBP,LKPR,Available,40 tonnes
OH239,OHE Maintenance Special,OHE Maintenance Special Unit 239,BY-CSMT,BY,Available,N/A
RA240,Rail Crane,Rail Crane Unit 240,KHN-TLO,KHN,Available,40 tonnes
RA241,Rail Crane,Rail Crane Unit 241,LDH-UMB,LDH,Available,40 tonnes
BA242,Ballast Regulator,Ballast Regulator Unit 242,ADST-MUG,ADST,Under Repair,3 km/hr
TO243,Tower Wagon,Tower Wagon Unit 243,DR-TNA,DR,Available,6m reach
DY244,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 244,BOP-NPMR,BOP,Available,1.8 km/hr
OH245,OHE Maintenance Special,OHE Maintenance Special Unit 245,BDL-MZP,BDL,In Use,N/A
DY246,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 246,NPMR-PKU,NPMR,Available,1.8 km/hr
BA247,Ballast Regulator,Ballast Regulator Unit 247,DMLE-KMAE,DMLE,Available,3 km/hr
DY248,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 248,CRJ-MDP,CRJ,Available,1.8 km/hr
BA249,Ballast Regulator,Ballast Regulator Unit 249,JAT-UHP,JAT,Available,3 km/hr
TO250,Tower Wagon,Tower Wagon Unit 250,KQD-LKPL,KQD,Available,6m reach
DY251,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 251,KHN-TLO,KHN,In Use,1.8 km/hr
RA252,Rail Crane,Rail Crane Unit 252,LDH-PGW,LDH,Available,40 tonnes
OH253,OHE Maintenance Special,OHE Maintenance Special Unit 253,GGV-MPE,GGV,Available,N/A
OH254,OHE Maintenance Special,OHE Maintenance Special Unit 254,CLX-OGL,CLX,Available,N/A
BA255,Ballast Regulator,Ballast Regulator Unit 255,CSB-TKJ,CSB,Available,3 km/hr
TO256,Tower Wagon,Tower Wagon Unit 256,BMAE-DNHL,BMAE,In Use,6m reach
TO257,Tower Wagon,Tower Wagon Unit 257,AGP-SEP,AGP,In Use,6m reach
TO258,Tower Wagon,Tower Wagon Unit 258,KBT-TRL,KBT,Available,6m reach
BA259,Ballast Regulator,Ballast Regulator Unit 259,GIA-NRPR,GIA,Available,3 km/hr
TO260,Tower Wagon,Tower Wagon Unit 260,ABU-VLK,ABU,Available,6m reach
RA261,Rail Crane,Rail Crane Unit 261,NPMR-PKU,NPMR,Available,40 tonnes
DY262,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 262,DTE-GGTA,DTE,Available,1.8 km/hr
BA263,Ballast Regulator,Ballast Regulator Unit 263,DPDP-SJPR,DPDP,Available,3 km/hr
TA264,Tamping Machine,Tamping Machine Unit 264,CSB-NDLS,CSB,Under Repair,2.5 km/hr
RA265,Rail Crane,Rail Crane Unit 265,LKF-TLG,LKF,Available,40 tonnes
BA266,Ballast Regulator,Ballast Regulator Unit 266,BZN-GGTA,BZN,Available,3 km/hr
TO267,Tower Wagon,Tower Wagon Unit 267,ADST-BDC,ADST,In Use,6m reach
RA268,Rail Crane,Rail Crane Unit 268,KUR-PURI,KUR,Available,40 tonnes
TA269,Tamping Machine,Tamping Machine Unit 269,CNS-HGY,CNS,Available,2.5 km/hr
OH270,OHE Maintenance Special,OHE Maintenance Special Unit 270,GGV-MPE,GGV,Available,N/A
OH271,OHE Maintenance Special,OHE Maintenance Special Unit 271,ST-UDN,ST,Available,N/A
TO272,Tower Wagon,Tower Wagon Unit 272,CPR-SEE,CPR,In Use,6m reach
